Acad Group,Subject,Catalog,Course ID,Course Title,Course Description,Component,Equivalent Courses,Requirement Group Description,Typically Offer,Credits,Add Consent,Drop Consent,,,,,,,,,
CAST,ARMY,301,114602,Adaptive Team Leadership,"This is an academically challenging course where you will study, practice, and apply the fundamentals of Army leadership, Officership, Army values and ethics, personal development, and small unit tactics at the team and squad level.  At the conclusion of this course, you will be capable of planning, coordinating, navigating, motivating and leading a team or squad in the execution of a tactical mission during a classroom PE, a Leadership Lab, or during a Situational Training Exercise (STX) in a field environment.  Successful completion of this course will help prepare you for success at the ROTC Leader Development and Assessment Course (LDAC) which you will attend next summer at Fort Lewis, WA.  This course includes reading assignments, homework assignments, small group assignments, briefings, case studies, and practical exercises, a mid-term exam, and a final exam.  You will receive systematic and specific feedback on your leader attributes values and core leader competencies from your instructor and other ROTC cadre and MSL IV Cadets who will evaluate you using the ROTC Leader Development Program (LDP) model. Enrollment must be approved by the Professor of Military Science.  Students enrolled in Army ROTC must also register for Army Conditioning Drills (Physical Fitness Training) and Army Leadership Lab",LEC,,,FALL,2,,,,,,,,,,,
CAST,ARMY,302,115345,Applied Team Leadership,"This is an academically challenging course where you will study, practice, and apply the fundamentals of Army leadership, Officership, Army values and ethics, personal development, and small unit tactics at the team and squad level.  At the conclusion of this course, you will be capable of planning, coordinating, navigating, motivating and leading a team or squad in the execution of a tactical mission during a classroom PE, a Leadership Lab, or during a Situational Training Exercise (STX) in a field environment.  Successful completion of this course will help prepare you for success at the ROTC Leader Development and Assessment Course (LDAC) which you will attend next summer at Fort Lewis, WA.  This course includes reading assignments, homework assignments, small group assignments, briefings, case studies, and practical exercises, a mid-term exam, and a final exam.  You will receive systematic and specific feedback on your leader attributes values and core leader competencies from your instructor and other ROTC cadre and MSL IV Cadets who will evaluate you using the ROTC Leader Development Program (LDP) model. Enrollment must be approved by the Professor of Military Science.  Students enrolled in Army ROTC must also register for Army Conditioning Drills (Physical Fitness Training) and Army Leadership Lab.",LEC,,,SPRING,2,,,,,,,,,,,
CAST,ARMY,401,115342,Adaptive Team Leadership II,"This is an academically challenging course were you will study, practice, and apply the fundamentals of Army leadership. You will learn how to train, mentor and evaluate underclass Cadets while learning the duties and responsibilities of an Army staff officer and applying the Military Decision Making Process (MDMP), the Army Writing Style and the Army's Training Management and Mission Mission Essential Task List (METL) Development processes during weekly Training Meetings to plan, execute and assess battalion training events. Enrollment must be approved by the Professor of Military Science.  Students enrolled in Army ROTC must also register for Army Conditioning Drills (Physical Fitness Training) and Leadership Lab.",LEC,,,FALL,2,,,,,,,,,,,
CAST,ARMY,402,114409,Leadership in a Complex World,"The course places significant emphasis on preparing cadets for their first unit of assignment. It uses cased studies, scenarios, and ""What Now, Lieutenant?"" exercises to prepare cadets to face the complex ethical and practical demands of leading as commissioned officers in the United States Army.  It develops cadet proficiency in planning, executing, and assessing complex operations, functioning as a member of a staff, and providing performance feedback to subordinates.  Cadets assess risk, make ethical decisions, and lead fellow ROTC cadets.  Enrollment must be approved by the Professor of Military Science.  Students enrolled in Army ROTC must also register for Army Conditioning Drills (Physical Fitness Training) and Leadership Lab.",LEC,,,FALL,2,,,,,,,,,,,
CAST,ARMY,501,200829,ARMY ROTC Independent Study,A supervised investigation within an ARMY ROTC  area of student interest. Consent of the instructor and departmental approval are required.,IND,,,,1.00 - 3.00,,,,,,,,,,,
CAST,CPET,121,108428,Computational Problem Solving I,"This is the first course in a two-course sequence in computational problem solving of engineering and scientific problems.  The problems solved will stress the application of sequence, selection, repetitive, invocation operations and arrays.  The development of proper testing procedures to ensure computational accuracy will be stressed. Students, upon successful completion of this course, will be able to analyze introductory  engineering and scientific problems, design, code, test, and document procedural software solutions.",LEL,,,SPRING,3,,,,,,,,,,,
CAST,CPET,141,103913,Digital Fundamentals,"An introduction to digital electronics, emphasizing the concepts that are fundamental to any digital system: number systems, truth tables, Boolean algebra, Karnaugh maps, combinational and sequential logic, digital arithmetic, TTL/CMOS logic families and SSI, MSI and PLD device implementation. Students, upon completion of this course, will have the necessary skills to analyze and design introductory combinational and sequential logic circuits.",LEC,,Co-requisites: CPET-142 or equivalent course.,FALL,2,,,,,,,,,,,
CAST,CPET,142,114693,Digital Fundamentals Lab,"Laboratory work to complement the lecture material covered in Digital Fundamentals. The laboratories are designed to illustrate concepts, reinforce analysis and design skills, and develop instrumentation techniques associated with the lecture topics. Students, upon completion of this course, will have the necessary skills to analyze, design, and implement introductory combinational and sequential logic circuits.",LAB,,Co-requisites: CPET-141 or equivalent course.,FALL,1,,,,,,,,,,,
CAST,CPET,201,103915,Microcontroller Systems,"This course studies the structure and applications of microcontroller systems. Emphasis will be on: hardware architecture and structures, programming, memory organization/mapping, system timing, typical peripherals and interfacing, the interrupt structure, input/output methods, small system design and applications. On successful completion of the course students will have the necessary skills to design, analyze, program and document basic microcontroller systems.",LEC,,Prerequisites: CPET-121 and ((CPET-141 and CPET 142) or 0618-301) or equivalent courses.  Co-Requisites: CPET-202 or equivalent course.,FALL,2,,,,,,,,,,,
CAST,CPET,202,114696,Microcontroller Systems Lab,"This course implements the techniques and concepts developed in Microcontroller Systems. Emphasis will be placed on the use and applications of an Integrated Developers Environment (IDE) system and microcontroller design, programming, debugging, simulation, implementation and demonstration of basic microcontroller systems using the features of Single Board Computer Development System (SBC). Students on successful completion of the course will have the necessary skills to analyze, design, program, debug, simulate and implement basic microcontroller systems.",LAB,,Co-requisites: CPET-201 or equivalent course.,FALL,1,,,,,,,,,,,
CAST,CPET,241,108261,Digital Systems Design,"After a review of concepts covered in Digital Fundamentals and Digital Fundamentals Laboratory , this course will present modern digital design techniques.  Topics will include: advanced digital circuits, programmable logic devices, finite state machines, hardware description languages and implementation technologies. Students, upon completion of this course, will have the necessary skills to analyze, and design advanced combinational and sequential logic circuits targeted for programmable logic devices.  In addition,  students will be introduced to hardware description languages and exposed to digital logic systems fabrication methodologies and processes",LEC,,"Prerequisites: ((CPET-141 and CPET 142) or 0618-301) or equivalent courses.  

Co-Requisites: CPET-242 or equivalent course.",SPRING,3,,,,,,,,,,,
CAST,CPET,242,114698,Digital Syst Design Lab,"Laboratory work to complement the lecture material covered in Digital Systems Design. The laboratories are designed to illustrate concepts, reinforce analysis and design skills, and develop instrumentation techniques associated with the lecture topics.  Students, upon completion of this course, will have the necessary skills to analyze, design, and implement advanced combinational and sequential logic circuits targeted for programmable logic devices.  In addition,  students will be introduced to a hardware description languages and exposed to digital logic systems fabrication methodologies and processes.",LAB,,Co-requisites: CPET-241 or equivalent course.,SPRING,1,,,,,,,,,,,
CAST,CPET,321,111186,Computational  Problem Solving II,"This is the second course in a two-course sequence in computational problem solving of engineering and scientific problems.  The problems solved will stress the application of data structures and object oriented classes.  Data encapsulation, data management, and design robustness will be stressed. Students, upon successful completion of this course, will be able to analyze complex engineering and scientific problems, design, code, test, and document objected-oriented software solutions.",LEL,,Prerequisites: CPET-121 or equivalent course.,FALL,3,,,,,,,,,,,
CAST,CPET,341,104150,Hardware Description Language,"This course is a more in depth coverage of current logic design and verification methodologies using a modern hardware description language (HDL).   Topics include: coding for different levels of abstraction; implementation of arithmetic circuits and finite state machines; hierarchical designs; reusable component design; data and control path; best coding practices; design constraints and verification. Students, upon completion of this course, will have the necessary skills to analyze and  design advanced hardware descriptions of combinational and sequential logic circuits using design and verification best practices and methodologies.",LEC,,"Prerequisites: (CPET-241 and CPET-242) or 0618-438 or equivalent courses.  

Co-Requisites: CPET-342 or equivalent course.",FALL-SPRNG,2,,,,,,,,,,,
CAST,CPET,342,114699,Hardware Descrip Language Lab,"Laboratory work to complement the lecture material covered in Hardware Description Language. The laboratories are designed to illustrate concepts, reinforce analysis and design skills, and develop instrumentation techniques associated with the lecture topics.  Students, upon completion of this course, will have the necessary skills to analyze, design, and implement advanced hardware descriptions of combinational and sequential logic circuits using design and verification best practices and methodologies.",LAB,,Co-requisites: CPET-341 or equivalent course.,FALL-SPRNG,1,,,,,,,,,,,
CAST,CPET,461,114521,Real Time Operating Systems,"This course will provide students with an introduction to operating systems theory, and practical problem solving approaches to real-time systems.  An embedded real-time operating system is used as the foundation for a variety of programming projects. Students, upon successful completion of this course, will be able to understand the operation and describe the various components of an operating system.  They will be able to evaluate design trade-offs and selection criteria for different types of operating systems, and demonstrate the ability to write multiple process that run together within an embedded, real-time operating system.",LEL,,Prerequisites: ((CPET-201 and CPET-202) or 0618-303) and CPET-321 or equivalent courses.,SPRING,3,,,,,,,,,,,
CAST,CPET,481,103905,Networking Technologies,"This course provides a practical study of voice & data communications from the point of the OSI seven-layer and the TCP/IP five-layer protocol model.  Both traditional circuit switched telecommunications as well as IP based communications are studied.  This course covers the operation of the lower four layers in detail by examining some of the foundation laws of physics including Nyquist and Shannon as well as selected protocols.  Emphasis is placed on data internetworking, local-area networking and wide-area networking. This course is a problem based course in that students apply the learning to various computer and networking mathematical problems and are assessed on their ability to solve the problem.",LEC,,Prerequisites: (MATH-171 or MATH-181) and STAT-145 or equivalent courses.,FALL,3,,,,,,,,,,,
CAST,CPET,499,114079,CPET Co-op,One semester or summer block of appropriate work experience in a related industry.  Students are required to complete a poster and presentation and participate in the ECTET Co-op presentation evening at the completion of each co-op experience.,COP,,"Prerequisites: EEET-299, CPET-201, CPET-202 and CPET- 321 or equivalent courses.",FA-SP-SU,0,Department Consent Required,Department Consent Required,,,,,,,,,
CAST,CPET,561,114700,Embedded Systems Design I,"This is an embedded systems architecture and design course. Microprocessor, as well as system level design principles will be analyzed from both a hardware and software perspective.  Assembly language and C are used to develop software applications for a 32-bit embedded processor.  Application software emphasizes interrupt driven operation and peripheral interfacing.  A hardware description language is used to design and debug embedded components for an FPGA-based system. Students, upon successful completion of the course, will be able to design and debug hardware and software systems, evaluate design trade-offs and choose the best design solution, and perform functional and timing analysis of an embedded system.",LEL,"CPET-561, 0618-562",Prerequisites: ((CPET-201 and CPET-202) or 0618-303) and ((CPET-341 and CPET-342) or 0618-439) with grades of C or better or equivalent courses.,SPRING,4,,,,,,,,,,,
CAST,CPET,563,114697,Embedded Systems Design II,"This project based course is the culmination of the curriculum capstone experience for the Computer Engineering Technology program. This course will be focused around a project that includes: product ideation, project/resource management techniques and best practices; system level specification, modeling, partition and design; team collaboration and communication; best documentation practices; industry level coding practices; hardware and software co-design methodologies; design reuse and intellectual property creation; design verification and validation; and design sign-off. Students, upon successful completion of the course, will have an industry-like embedded system product design experience, starting by developing the vision for a product, including the voice of the customer, and progress through the phases to develop a complete product prototype with professional documentation. In addition the students will:  track and present their progress; participate in design and code reviews; demonstrate their product and highlight product differentiation. At the end of the course students will give a formal presentation, product demonstration, deliver professional documentation, go over lessons learned and suggest future improvements.",LEL,"CPET-563, 0618-563",Prerequisites: CPET-561 or equivalent course.,SPRING,3,,,,,,,,,,,
CAST,CVET,140,110132,Materials of Construction,"A study of common construction materials in civil engineering with particular emphasis on Portland cement concrete and asphalt cement concrete.  Aggregates, Portland cement, and asphalt cement (each an ingredient in the concretes) are studied extensively.  Mass-volume relationships are explored in relation to these materials.  An overview of laboratory testing procedures for evaluating these materials is provided.  Important properties of masonry, steel, and wood products are also discussed.",LEC,,Co-requisites: CVET-141 or equivalent course.,FALL,2,,,,,,,,,,,
CAST,CVET,141,114815,Materials of Construction Laboratory,"The Materials of Construction Laboratory will be taken concurrently with CVET-140.  Standard laboratory tests will be performed for evaluating the properties of aggregate, Portland cement concrete, asphalt cement concrete, and mortar.  Mix design procedures for Portland cement concrete and asphalt cement concrete will be learned and used.  An introduction to green building materials will be provided.",LAB,,Co-requisites: CVET-140 or equivalent course.,FALL,1,,,,,,,,,,,
CAST,CVET,150,111141,Computer Aided Design and Drafting,"Introduction to engineering graphics as a means of communication in the technical fields. The course is laboratory oriented and provides the student with basic skills to create and edit professional 2D &3D drawings with this comprehensive first course in the use of computer aided design and drafting (CADD) software for (Mechanical, Architectural and Civil drawings). The course assumes no prior knowledge of engineering drawing or CADD.",LEL,,,SPRING,2,,,,,,,,,,,
CAST,CVET,160,108266,Surveying,"Introduction to fundamentals of surveying. Topics include: note taking; differential leveling; vertical and horizontal measurement; traversing; topographic mapping; horizontal, vertical, compound and reverse curves; earthwork; and GPS/GIS.",LEC,,Co-requisites: CVET-161 or equivalent course.,FALL,3,,,,,,,,,,,
CAST,CVET,161,114817,Surveying Laboratory,"Students apply the fundamentals of surveying to field exercises using modern surveying equipment. Field exercises include differential leveling, cross sections, traversing, topographic mapping, horizontal curve layout, vertical curve design, earthwork estimation, use of data collectors, and GPS/GIS.",LAB,,Co-requisites: CVET-160 or equivalent course.,FALL,1,,,,,,,,,,,
CAST,CVET,170,108198,Elements of Building Construction,"Elements and details of building construction, both residential and commercial, are explored. The course does not focus on design, but rather on specific building components, and on how these components work together to create a functional building. Some of the topics include: foundations, wood light frame, heavy timber frame, steel, concrete, masonry, glass, roofing, cladding systems, and interior finishes. The role of building codes in design and construction is introduced. ""Green"" building materials and systems are also introduced.",LEC,,CVET-BS,SPRING,3,,,,,,,,,,,
CAST,CVET,180,114821,Civil Engineering Graphics,"The objective of this course is to develop in the student an understanding of plans and drawings in civil engineering projects such as site development, structures, hydraulic structures, water and wastewater transport and treatment facilities, and transportation facilities. Students will also understand how related disciplines: architecture, mechanical and electrical engineering, and landscape architecture; are incorporated into construction drawings. Students develop an understanding of the technical and legal purpose of plans and how to assemble them.",LEC,"CVET-180, 0608-220",Co-requisites: CVET-181 or equivalent course.,FALL,2,,,,,,,,,,,
CAST,CVET,181,114818,Civil Engineering Graphics Lab,The purpose of this course is to provide students with hands on learning of fundamental and innovative tools in the area of civil engineering graphics. Students will apply information from the co-requisite to understand how construction drawing sets and drawing components are organized and generated. Spreadsheet methods will be used to solve design problems and building information modeling software will be introduced in the DDL computer lab.,LAB,,Co-requisites:  CVET-180 or equivalent course.,FALL,1,,,,,,,,,,,
CAST,CVET,210,114819,Statics,"An introduction to the analysis of static structures covering free-body diagrams, forces, moments, vectors, equilibrium, friction, and analysis of structures and truss members.  Applications are drawn from civil engineering technology.",LEC,"CVET-210, 0610-302",Prerequisites: PHYS-111 or PHYS-211 or PHYS-211A or equivalent course.,SPRING,3,,,,,,,,,,,
CAST,CVET,220,114214,Strength of Materials,"Study how forces and moments affect axial, shearing, and bending stresses and deflections of structural members.  The relationships between stress and strain, for both axial and torsional loading, are explored.  Beams, shafts, and columns are analyzed and designed based on stress and deformation.  Combined stress states are analyzed, including using Mohr's circle. Statically indeterminate problems are evaluated. Euler's equations and column design principles are studied and applied.",LEC,"CVET-220, 0610-303",Prerequisites: C- or better in CVET-210 or equivalent course.,FALL,4,,,,,,,,,,,
CAST,CVET,230,114822,Elementary Structures,"Applications of the principles of statics and strength of materials to the analysis and design of basic structural elements in buildings such as beams, T-beams, columns, slabs, and footings. Topics include analysis of gravity loads in buildings, along with analysis and design of both structural steel and reinforced concrete members found in buildings.  The Allowable Stress Design approach (AISC) is used for steel, while the ACI code is used for concrete. Design and analysis of steel connections are covered also.",LEC,"CVET-230, 0608-380",Prerequisites: CVET-220 or equivalent course.,SPRING,3,,,,,,,,,,,
CAST,CVET,240,200099,Elementary Soil Mechanics,"An introduction to soil mechanics and its application to problems encountered in civil engineering design and construction.  Major topics include soil properties and classification, weight-volume relationships, compaction/ground improvement, groundwater flow, stresses in soils, settlement analysis, and shear strength.",LEC,"CVET-240, 0608-360",Prerequisites: CVET-220 or equivalent course.  Co-requisites: CVET-241 or equivalent course.,SPRING,3,,,,,,,,,,,
CAST,CVET,241,200650,Elementary Soil Mechanics Lab,"The Soil Mechanics Laboratory will be taken concurrently with CVET-240.  Standard laboratory tests will be performed for evaluating the properties of soils including gradation, plasticity, compaction, permeability, compressibility, and shear strength.",LAB,,Co-requisites: CVET-240 or equivalent course.,SPRING,1,,,,,,,,,,,
CAST,CVET,250,114823,Hydraulics,"A study of the principle physical properties of liquids, hydrostatic pressure and forces, buoyancy and flotation, Bernoulli's Law, Conservation of Energy and Mass, and the concept of momentum. These fundamentals are applied in the analysis and design of closed conduit systems, open channel flow, pumps and pump selection and storage facilities. Rainfall runoff relationships and applications to stormwater management are also introduced.",LEC,"CVET-250, 0608-420",Prerequisites: CVET-210 or equivalent course.  Co-requisites: CVET-251 or equivalent course.,FALL,3,,,,,,,,,,,
CAST,CVET,251,103833,Hydraulics Lab,Experimental study of principle physical properties of liquids and major laws of fluid mechanics. Students will conduct several experiments that illustrate the theory and design principles taught in lecture.,LAB,,Co-requisites: CVET-250 or equivalent course.CVET-250 Coreq,FALL,1,,,,,,,,,,,
CAST,CVET,300,102924,Land Development Computer Applications,"The purpose of this course is to provide the student with an introduction to Civil 3D software and how to use the application and its tools to create standardized civil engineering and drafting projects. The course enables students to complete transportation, site, sewer, storm drain, and subdivision projects quickly, while using the tools to dynamically link and generate automatic design updates.",LEL,,Prerequisites: CVET-150 and ((CVET-160 and CVET-161) or 0608-340) and ((CVET-180 and CVET-181) or 0608-220) or equivalent courses.,FALL,2,,,,,,,,,,,
CAST,CVET,332,114824,Structural Analysis with STAAD,"Introduction of classical and modern computational techniques to analyze statically determinate and indeterminate structures.  Topics include beams, 2-D trusses, 2-D frames, cables and arches, moving loads and influence lines, approximate methods and moment distribution. Computer-aided structural analysis using commercial structural analysis software ""STAAD"" is involved.",LEC,"CVET-330, 0608-490",Prerequisites: CVET-230 or equivalent course.,FALL,4,,,,,,,,,,,
CAST,CVET,400,108295,Transportation Engineering,"This course exposes students to the fields of highway, traffic engineering, airport and rail engineering. The areas of administration, planning, design, construction, maintenance and operation are covered. After the introductory material is presented, stress is put on specific skills needed in these fields, including highway, rail and airport standards; geometry and alignment; traffic signal timing and design, drainage; earthwork; safety standards; and structures.",LEC,,"Prerequisites: CVET-150, CVET-160, CVET-180 and CVET-300 or equivalent course.
Co-requisite:  CVET-401",SPRING,2,,,,,,,,,,,
CAST,CVET,401,114825,Transportation Engineering Lab,"Students apply the fundamentals of highway design in the planning and design of a curbed highway, parking lot, and the necessary stormwater management facility. Students will use AutoCAD Civil 3D software as well as traffic engineering software that is commonly used at transportation agencies.",LAB,,"Prerequisites: CVET-300 or equivalent course.  
Co-requisites: CVET-401 or equivalent course.",SPRING,1,,,,,,,,,,,
CAST,CVET,412,108300,Pavement Design,"This elective course provides detailed coverage of the engineering aspects of asphalt and Portland cement concrete pavement design, bringing together relevant concepts from construction materials, soil mechanics and transportation engineering.  The course includes design of new pavements and also addresses the topics of the assessment, rehabilitation, and recycling of existing pavements.  In addition to focusing on highway/roadway pavements, an overview of airport pavements is presented.  Problems are attacked in a practical manner, utilizing design guides and expertise from national organizations and state highway departments.",LEC,,Prerequisites: ((CVET-140 and CVET-141) or 0608-330) and ((CVET-240 and CVET-241) or 0608-360) or equivalent courses.,SPRING,3,,,,,,,,,,,
CAST,CVET,414,200065,Traffic Analysis,"The fundamentals of traffic engineering, traffic operation and control are covered. The design of intersection control is covered. Topics included are, driver/vehicle characteristics, traffic control devices, traffic stream characteristics, statistical applications in traffic engineering, traffic volume studies and characteristics, vehicle routing, speed changes, speed reduction zones, fixed time signal control and related topics.",LEL,,Prerequisites: ((CVET-400 and CVET-401) or 0608-530) or equivalent course.,,3,,,,,,,,,,,
CAST,CVET,421,108252,Land Use Planning,"The environmental and social aspects as well as the engineering and cost considerations of land-use planning are covered. Topics included are zoning concepts, master plans, subdivision regulations and design criteria, flood plains, environmentally sensitive areas, wetlands, other planning and control tools, solar access planning, and urban revitalization. Students are involved in an independent project consisting of a concept design for a subdivision or other land-use project. Extensive use is made of field trips and attendance at appropriate meetings or work sessions.",LEL,,Prerequisites: CVET-300 or equivalent course.,SPRING,3,,,,,,,,,,,
CAST,CVET,422,111514,Resource Recovery and Waste Management,"An introduction to the civil engineering aspects of dealing with resource recovery and “waste” management, with a focus on source reduction and beneficial resource recovery. Topics covered are the history of the problems, the resulting societal reaction and legislation, and present day handling, minimizing, and recovering or disposing of materials historically treated as “wastes.” Emphasis is placed on those aspects in which the civil engineer plays a prominent role such as material recovery facilities, municipal solid waste landfills and hazardous waste permanent storage facilities, land application of municipal wastewater biosolids, composting, and other resource recovery and environmental protection engineering projects. Use is made of lectures, reading materials, outside speakers, field trips, and certain projects.",LEC,,This class is restricted to students with at least 4th year standing in the CVET-BS program.,FALL,3,,,,,,,,,,,
CAST,CVET,423,200064,GIS for CETEMS,"This course examines the fundamentals of geographic information systems and their application in the fields of civil engineering and environmental management. It emphasizes the application of GIS technology to problems such as, but not limited to, water resource management, asset management, environmental impact assessments, urban planning, and transportation.",LEL,,Enrollment in this course is restricted to student with at least 4th year standing in CVET-BS or ESHS-BS.,,3,,,,,,,,,,,
CAST,CVET,424,201166,Building Information Modeling with Revit,"The primary objective of the Revit course is to teach students the concepts of Building Information Modeling (BIM) technology and introduce the tools for parametric building design and documentation using Revit Architecture. Students will be able to create full 3D architectural project models and generate working drawings. The course focuses on design development tools - building the 3D model with foundation, walls, windows, doors, floors, roofs, stairs, creating reflected ceiling plans and furniture plans. Students will add views and annotation to the sheets to create a set of construction documents.",LEC,,Prerequisites: CVET-150 or equivalent course.,SPRING,3,,,,,,,,,,,
